Size,Time_microseconds
500,33
600,39
700,49
800,62
900,66
1000,68
1100,79
1200,83
1300,85
1400,104
1500,126
1600,128
1700,134
1800,141
1900,143
2000,145
2100,161
2200,166
2300,168
2400,174
2500,174
2600,185
2700,218
2800,225
2900,250
3000,286
3100,266
3200,266
3300,275
3400,272
3500,284
3600,282
3700,281
3800,294
3900,286
4000,294
4100,312
4200,338
4300,347
4400,347
4500,361
4600,354
4700,374
4800,385
4900,365
5000,378
5100,391
5200,392
5300,421
5400,424
5500,441
5600,457
5700,481
5800,499
5900,515
6000,535
6100,563
6200,553
6300,577
6400,600
6500,651
6600,591
6700,596
6800,607
6900,630
7000,625
7100,596
7200,598
7300,594
7400,614
7500,654
7600,600
7700,600
7800,630
7900,650
8000,700
8100,623
8200,672
8300,688
8400,812
8500,719
8600,757
8700,828
8800,816
8900,792
9000,743
9100,769
9200,758
9300,883
9400,777
9500,820
9600,826
9700,788
9800,789
9900,799
10000,824
